age,gender,exp_name,problem_type,sub_type,val,bel,instruction,congruency,content,content_num,confidence_ratings,confidence_rt,experiment_status,pseudo_accuracy,real_accuracy,conf,endorse_rate,subj_id
21,Male,possibNecess1,Conditional,AC,PS,Believable,Logic,congruent,ExpiredFood,60,94,1.38819,finished,1,0,non_conflict,1,Person_1
21,Male,possibNecess1,Conditional,MP,Invalid,Believable,Belief,incongruent,ChipsFrozen,7,93,1.710655,finished,0,0,conflict,0,Person_1
21,Male,possibNecess1,Conditional,MP,Invalid,Believable,Logic,incongruent,TeaSalt,21,91,1.31162,finished,1,1,conflict,0,Person_1
21,Male,possibNecess1,Conditional,MP,Valid,Unbelievable,Logic,incongruent,WindKite,23,90,1.19053,finished,1,1,conflict,1,Person_1
21,Male,possibNecess1,Conditional,MP,Valid,Believable,Logic,congruent,HamsterFood,13,98,1.50723,finished,1,1,non_conflict,1,Person_1
21,Male,possibNecess1,Conditional,AC,PS,Believable,Belief,congruent,ChildCry,37,95,0.768555,finished,1,1,non_conflict,1,Person_1
21,Male,possibNecess1,Conditional,AC,PS,Unbelievable,Logic,incongruent,ChipsFrozen,39,93,0.94012,finished,1,0,conflict,1,Person_1
21,Male,possibNecess1,Conditional,MP,Valid,Unbelievable,Belief,incongruent,AdenBooze,1,90,0.78867,finished,0,0,conflict,1,Person_1
21,Male,possibNecess1,Conditional,MP,Valid,Believable,Belief,congruent,ChildCry,5,95,0.75725,finished,1,1,non_conflict,1,Person_1
21,Male,possibNecess1,Conditional,AC,PW,Believable,Belief,incongruent,MeganPhone,48,94,0.79228,finished,0,0,conflict,0,Person_1
21,Male,possibNecess1,Conditional,MP,Valid,Unbelievable,Logic,incongruent,HamsterFood,13,92,1.025295,finished,1,1,conflict,1,Person_1
21,Male,possibNecess1,Conditional,AC,PW,Believable,Logic,incongruent,JohnSwim,47,92,0.858355,finished,1,1,conflict,0,Person_1
21,Male,possibNecess1,Conditional,AC,PW,Believable,Belief,incongruent,TreeOld,54,97,0.942655,finished,0,0,conflict,0,Person_1
21,Male,possibNecess1,Conditional,MP,Invalid,Unbelievable,Logic,congruent,DogBark,10,89,0.825535,finished,1,1,non_conflict,0,Person_1
