subject,age,gender,experiment_name,problem_type,which_part,sub_type,val,bel,instruction,conf,endorse_rate,real_accuracy,pseudo_accuracy,content,content_num,final_response_rt,confidence_ratings,confidence_rt,university,congruency
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PS,Believable,Belief,non_conflict,1,1,1,LightDark,32,0.9716,56,2.5831,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PW,Unbelievable,Logic,non_conflict,0,1,1,ChildMud,22,2.5216,59,1.7107,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PW,Believable,Belief,conflict,0,0,0,ExpiredFood,25,1.136,57,2.2421,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PS,Believable,Logic,non_conflict,1,0,1,AndrewFat,19,1.6389,59,2.1198,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PW,Unbelievable,Logic,non_conflict,0,1,1,GlassDrop,28,2.3981,57,1.953,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Invalid,Believable,Belief,conflict,1,1,1,DogBark,42,2.9298,60,1.9051,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PS,Unbelievable,Belief,conflict,1,0,0,ChildCry,53,1.102,55,2.3036,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Unbelievable,Logic,non_conflict,0,1,1,AdenBooze,1,1.1915,61,1.8556,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Valid,Believable,Belief,non_conflict,1,1,1,DrivingTest,43,2.1034,57,2.3758,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Valid,Believable,Logic,non_conflict,1,1,1,GlassDrop,12,1.1512,59,2.1313,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Believable,Logic,conflict,1,0,0,AndrewFat,3,4.7093,56,2.4698,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Valid,Unbelievable,Logic,conflict,1,1,1,HamsterFood,45,1.2604,55,2.0009,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PW,Believable,Belief,conflict,1,1,1,AdenBooze,49,1.3423,57,2.8226,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Believable,Belief,conflict,1,1,1,DrivingTest,11,0.5759,56,1.6801,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Valid,Believable,Logic,non_conflict,1,1,1,ChildMud,38,0.5719,57,3.7873,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PS,Unbelievable,Logic,conflict,1,0,1,JohnSwim,63,0.7856,56,2.4338,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PS,Believable,Belief,non_conflict,1,1,1,ExpiredFood,57,0.6913,58,2.3933,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Valid,Unbelievable,Logic,conflict,1,1,1,AirplaneCol,2,0.8572,56,1.7155,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PS,Believable,Logic,non_conflict,1,0,1,AndrewFat,51,3.7156,56,5.1518,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Valid,Unbelievable,Belief,conflict,1,0,0,HamsterFood,13,0.7767,60,2.012,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PW,Believable,Logic,conflict,1,0,0,DrivingTest,59,1.2336,58,2.4882,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Unbelievable,Belief,non_conflict,1,0,0,LightDark,16,0.9777,57,3.3364,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Unbelievable,Belief,non_conflict,1,0,0,FishRaw,7,3.4413,57,2.0701,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,DA,PW,Unbelievable,Belief,non_conflict,1,0,0,AirplaneCol,50,16.0462,56,4.5916,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PW,Unbelievable,Belief,non_conflict,1,0,0,JohnSwim,31,1.8611,56,2.7287,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MP,Invalid,Believable,Belief,conflict,1,1,1,ChildCry,5,1.1554,59,2.1257,Macquarie,incongruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Valid,Believable,Logic,non_conflict,1,1,1,JackyHungry,46,1.0116,55,2.696,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,AC,PW,Unbelievable,Belief,non_conflict,1,0,0,AirplaneCol,18,0.7445,56,1.9886,Macquarie,congruent
kxenxrq3to,19,Female,possiblility_necessity_exp3B,Conditional,main_task,MT,Invalid,Unbelievable,Logic,non_conflict,1,0,0,AndrewFat,35,0.8518,56,2.7366,Macquarie,congruent
