random_number,exp_name,which_part,problem_type,sub_type,val,bel,instruction,congruency,content,content_num,final_response_rt,confidence_ratings,confidence_rt,pseudo_accuracy,real_accuracy,conf,endorse_rate,polarity,subj_id,total_duration,age,gender,ah4,crt,crt3,crt4,ah4_quant,ah4_verbal,cog_ability,cog_style
773056,possib_necess3,main_task,Determinate,MT,Valid,Believable,Logic,congruent,CompHighend,41,2.328585,100,2.457255,1,1,non_conflict,1,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Determinate,MT,Valid,Believable,Belief,congruent,MirrorFall,44,2.879395,99,1.236,1,1,non_conflict,1,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Determinate,MP,Valid,Believable,Belief,congruent,ClockBroken,8,3.31235,99,1.740345,1,1,non_conflict,1,Affirmation,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,DA,PS,Unbelievable,Belief,incongruent,ClockBroken,56,5.693685,100,1.508575,1,1,conflict,0,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,DA,PW,Believable,Logic,incongruent,ChildMud,54,2.67949,99,1.584415,0,0,conflict,1,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,DA,PS,Unbelievable,Belief,incongruent,MeganPhone,64,6.00372,95,1.26259,1,1,conflict,0,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,AC,PS,Believable,Belief,congruent,HamsterFood,29,4.844605,98,1.223375,1,1,non_conflict,1,Affirmation,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Determinate,MP,Invalid,Unbelievable,Logic,congruent,JohnSwim,15,6.277025,100,1.419145,1,1,non_conflict,0,Affirmation,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,DA,PW,Unbelievable,Logic,congruent,AdenBooze,49,9.557445,99,0.968475,1,1,non_conflict,0,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Indeterminate,DA,PW,Unbelievable,Logic,congruent,DogBark,58,3.04629,98,1.55567,1,1,non_conflict,0,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
773056,possib_necess3,main_task,Determinate,MT,Valid,Unbelievable,Logic,incongruent,HamsterFood,45,17.235485,100,1.019685,0,0,conflict,0,Denial,Person_1,1329,20,Female,47,4,1,3,23,24,high_ca,high_acs
